"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C21,C22","4","12pF","","","","",""
"C3,C4,C5,C6,C7,C8,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C24,C27,C28,C29,C30,C31,C32","23","0.1uF","","","","",""
"C9","1","1uF","","","","",""
"C10","1","470pF","","","","",""
"C23","1","2.2uF","","","","",""
"C25,C26","2","0.022uF","","","","",""
"D1,D3","2","LED","","","","",""
"D2","1","ESD9B5.0ST5G","","","","Diode_SMD:D_SOD-923","https://www.onsemi.com/pub/Collateral/ESD9B-D.PDF"
"FB1,FB2,FB3,FB4,FB5","5","FerriteBead","","","","",""
"J1","1","Conn_01x04","","","","",""
"J2,J3","2","RJ45_Hanrun_HR911105A_Horizontal","","","","Connector_RJ:RJ45_Hanrun_HR911105A_Horizontal","https://datasheet.lcsc.com/lcsc/1811141815_HANRUN-Zhongshan-HanRun-Elec-HR911105A_C12074.pdf"
"J4","1","USB_A","","","","",""
"R1,R8,R19,R23","4","220R","","","","",""
"R2,R4,R5","3","10K","","","","",""
"R3","1","12.1K","","","","",""
"R6,R7","2","10R","","","","",""
"R9,R10,R11,R12,R13,R14,R15,R16,R17,R18","10","49.9R","","","","",""
"R20,R21,R22","3","4.7k","","","","",""
"SW1","1","SW_Push","","","","",""
"U1","1","LAN9252","","","","LAN9252_PT:QFP50P1200X1200X120-65N",""
"U2","1","STM32F411CEUx","","","","Package_DFN_QFN:QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm","https://www.st.com/resource/en/datasheet/stm32f411ce.pdf"
"U3","1","24FC512-I_SM","","","","24FC512-I_SM:SOIC127P794X203-8N",""
"U4","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"Y1,Y3","2","25KHz","","","","",""
"Y4","1","32KHz","","","","",""
